Timestamp,Program,Indent,UI,Lang,OS,Browser,DE
11/29/2017 11:30:00,W,Spaces,Terminal,Scala,Linux,Chrome,IntelliJ
11/29/2017 11:30:17,D,Tabs,Terminal,Scala,Windows 10,Chrome,IntelliJ
11/29/2017 11:30:44,D,Tabs,GUI,Scala,Windows 10,Chrome,IntelliJ
11/29/2017 11:30:58,D,Spaces,Terminal,Scala,Linux,Chrome,IntelliJ
11/29/2017 11:30:58,D,Tabs,Terminal,Scala,macOS,Safari,IntelliJ
11/29/2017 11:31:43,D,Tabs,Terminal,Scala,Linux,Chrome,IntelliJ
11/29/2017 11:41:41,D,Spaces,GUI,Java,Windows 10,Chrome,IntelliJ
11/29/2017 11:42:29,D,Tabs,GUI,Scala,Linux,Chrome,Atom
11/29/2017 11:42:40,D,Tabs,GUI,Scala,Linux,Chrome,IntelliJ
11/29/2017 11:43:40,D,Tabs,GUI,Scala,Linux,Chrome,IntelliJ
11/29/2017 11:44:10,D,Tabs,GUI,Javascript,macOS,Chrome,Visual Studio Code
11/29/2017 12:56:24,D,Tabs,Terminal,Scala,Windows 10,Chrome,IntelliJ
11/29/2017 13:01:56,D,Tabs,Terminal,Scala,macOS,Safari,IntelliJ
11/29/2017 13:17:12,D,Tabs,GUI,Scala,Linux,Chrome,IntelliJ
11/29/2017 13:38:24,D,Tabs,GUI,Java,Windows 10,Chrome,IntelliJ
11/29/2017 13:41:49,D,Spaces,Terminal,Scala,Windows 10,Chrome,IntelliJ
11/29/2017 13:57:19,D,Spaces,GUI,C#,Windows 10,Chrome,Visual Studio
11/29/2017 14:16:47,D,Tabs,GUI,Scala,Windows 10,Firefox,Atom
11/29/2017 14:29:59,D,Spaces,Terminal,Scala,Windows 10,Chrome,IntelliJ
11/29/2017 14:35:38,W,Tabs,GUI,Scala,macOS,Chrome,Eclipse
11/29/2017 14:38:25,D,Spaces,Terminal,Scala,Linux,Firefox,Atom
11/29/2017 14:56:26,D,Spaces,Terminal,Python,macOS,Firefox,Sublime Text
11/29/2017 15:57:39,D,Spaces,Terminal,Scala,Linux,Chrome,IntelliJ
11/29/2017 16:46:34,D,Tabs,GUI,Scala,Windows 10,Chrome,Visual Studio
11/29/2017 17:36:24,D,Tabs,GUI,PHP,Windows 7,Chrome,PhpStorm
11/29/2017 18:40:07,D,Tabs,GUI,Scala,macOS,Chrome,IntelliJ
11/29/2017 20:55:06,D,Spaces,GUI,Scala,Linux,Chrome,IntelliJ
11/29/2017 22:10:43,D,Tabs,GUI,Java,Linux,Firefox,Eclipse
11/30/2017 9:35:23,D,Tabs,GUI,Scala,Linux,Chrome,Eclipse
11/30/2017 11:00:48,D,Tabs,Terminal,C#,Linux,Chrome,IntelliJ
11/30/2017 13:47:27,D,Tabs,GUI,C#,Windows 10,Chrome,Visual Studio Code
11/30/2017 15:00:06,D,Tabs,GUI,C++,Windows 10,Firefox,Visual Studio
11/30/2017 15:14:35,D,Tabs,Terminal,Java,Windows 8,Chrome,IntelliJ
11/30/2017 16:20:38,D,Tabs,Terminal,C++,macOS,Safari,IntelliJ
11/30/2017 18:38:34,D,Spaces,Terminal,Scala,Linux,Firefox,IntelliJ
11/30/2017 19:07:19,D,Tabs,Terminal,Scala,Linux,Chrome,Eclipse
11/30/2017 19:07:35,D,Tabs,GUI,Java,Windows 10,Chrome,NetBeans
11/30/2017 19:08:31,W,Tabs,Terminal,Scala,Linux,Firefox,Eclipse
